City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Severo-Yeniseyskiy,MX,2022-04-28 02:38:19,20.8667,-90.4,77.86,75,100,14.27
125,Severo-Yeniseyskiy,BR,2022-04-28 02:38:20,-14.4547,-56.8028,72.14,64,4,4.59
126,Severo-Yeniseyskiy,US,2022-04-28 02:35:49,40.8021,-124.1637,52.93,77,100,8.01
127,Severo-Yeniseyskiy,CA,2022-04-28 02:38:20,50.6996,-127.4199,46.58,76,75,9.22
128,Severo-Yeniseyskiy,US,2022-04-28 02:38:21,41.3712,-73.414,41.54,61,1,10.0
129,Severo-Yeniseyskiy,US,2022-04-28 02:38:21,41.3973,-73.6171,41.56,62,3,1.99
130,Severo-Yeniseyskiy,GH,2022-04-28 02:38:22,5.7947,0.8973,78.69,84,100,15.21
131,Severo-Yeniseyskiy,MU,2022-04-28 02:38:22,-20.3428,57.7575,73.22,94,20,5.75
132,Severo-Yeniseyskiy,JP,2022-04-28 02:34:08,35.0,132.2167,65.91,55,56,13.8
133,Severo-Yeniseyskiy,US,2022-04-28 02:38:23,20.8947,-156.47,82.42,63,40,19.57
134,Severo-Yeniseyskiy,CA,2022-04-28 02:38:23,52.9999,-122.5029,43.3,70,100,3.44
135,Severo-Yeniseyskiy,BR,2022-04-28 02:38:23,-33.5189,-53.3681,57.87,91,0,4.85
136,Severo-Yeniseyskiy,SO,2022-04-28 02:38:24,11.2842,49.1816,82.0,69,36,9.33
137,Severo-Yeniseyskiy,AR,2022-04-28 02:38:24,-38.7196,-62.2724,56.7,31,100,21.56
138,Severo-Yeniseyskiy,CD,2022-04-28 02:38:24,1.2391,23.616,70.52,93,98,1.77
139,Severo-Yeniseyskiy,GM,2022-04-28 02:38:25,13.35,-15.75,76.68,43,13,6.85
140,Severo-Yeniseyskiy,NA,2022-04-28 02:39:25,-22.9575,14.5053,61.75,67,2,4.61
141,Severo-Yeniseyskiy,BR,2022-04-28 02:35:16,-16.4708,-54.6356,70.75,65,3,2.42
142,Severo-Yeniseyskiy,US,2022-04-28 02:39:26,37.1041,-113.5841,81.19,13,0,11.5
143,Severo-Yeniseyskiy,US,2022-04-28 02:39:27,43.5196,-114.3153,51.66,30,0,5.75
144,Severo-Yeniseyskiy,RU,2022-04-28 02:39:27,68.0546,166.4372,33.13,96,57,2.48
145,Severo-Yeniseyskiy,MV,2022-04-28 02:39:28,-0.6,73.0833,83.61,72,100,5.84
146,Severo-Yeniseyskiy,UY,2022-04-28 02:39:29,-33.6971,-53.4616,57.02,90,0,4.45
147,Severo-Yeniseyskiy,PE,2022-04-28 02:39:30,-13.7,-76.2167,66.25,82,100,2.3
148,Severo-Yeniseyskiy,US,2022-04-28 02:36:27,29.6516,-82.3248,71.44,83,75,6.91
149,Severo-Yeniseyskiy,US,2022-04-28 02:39:30,34.4166,-79.3712,58.1,48,4,6.4
150,Severo-Yeniseyskiy,JP,2022-04-28 02:39:31,28.3667,129.4833,74.32,85,98,5.84
151,Severo-Yeniseyskiy,CN,2022-04-28 02:39:32,43.801,87.6005,52.75,58,20,4.47
152,Severo-Yeniseyskiy,US,2022-04-28 02:39:32,45.0205,-93.218,46.74,47,0,12.66
153,Severo-Yeniseyskiy,RU,2022-04-28 02:39:33,63.9333,31.65,21.47,86,38,5.68
154,Severo-Yeniseyskiy,BR,2022-04-28 02:39:33,-22.9661,-42.0278,75.58,86,0,21.72
155,Severo-Yeniseyskiy,RU,2022-04-28 02:39:34,61.7533,48.5442,23.43,66,90,9.53
156,Severo-Yeniseyskiy,AR,2022-04-28 02:39:34,-22.5164,-63.8013,73.17,84,79,3.89
157,Severo-Yeniseyskiy,CA,2022-04-28 02:39:35,50.2001,-66.3821,36.03,69,75,9.22
158,Severo-Yeniseyskiy,CA,2022-04-28 02:39:36,50.9832,-118.2023,51.82,35,100,12.66
159,Severo-Yeniseyskiy,NZ,2022-04-28 02:39:36,-45.4167,167.7167,57.47,65,6,0.76
160,Severo-Yeniseyskiy,SA,2022-04-28 02:39:37,17.4924,44.1277,72.25,44,1,4.32
161,Severo-Yeniseyskiy,NE,2022-04-28 02:39:37,18.6853,12.9164,83.93,12,0,8.46
162,Severo-Yeniseyskiy,US,2022-04-28 02:39:39,57.79,-152.4072,45.91,76,0,6.91
163,Severo-Yeniseyskiy,MX,2022-04-28 02:39:40,19.9333,-105.25,72.7,77,0,1.25
164,Severo-Yeniseyskiy,BJ,2022-04-28 02:39:40,11.1342,2.9386,84.2,52,100,10.29
165,Severo-Yeniseyskiy,US,2022-04-28 02:39:01,39.5009,-89.7679,62.31,60,100,8.21
166,Severo-Yeniseyskiy,GB,2022-04-28 02:39:41,51.0333,-4.2167,44.62,75,100,11.56
167,Severo-Yeniseyskiy,CN,2022-04-28 02:39:41,27.3409,117.4831,79.47,80,89,4.23
168,Severo-Yeniseyskiy,RU,2022-04-28 02:39:42,60.2622,37.9763,22.95,84,25,2.28
169,Severo-Yeniseyskiy,JP,2022-04-28 02:39:43,35.7333,140.8333,61.2,50,100,16.11
170,Severo-Yeniseyskiy,NO,2022-04-28 02:37:04,71.0357,27.8492,22.95,63,75,29.93
171,Severo-Yeniseyskiy,US,2022-04-28 02:39:43,34.8791,-76.9013,63.93,70,0,5.75
172,Severo-Yeniseyskiy,RU,2022-04-28 02:39:44,67.6713,53.087,11.8,89,28,9.66
173,Severo-Yeniseyskiy,PF,2022-04-28 02:39:44,-17.7333,-149.15,81.21,74,24,21.14
174,Severo-Yeniseyskiy,AU,2022-04-28 02:36:13,-34.7333,135.8667,76.23,46,3,14.76
175,Severo-Yeniseyskiy,ID,2022-04-28 02:39:45,4.1363,96.1285,83.61,75,88,0.85
176,Severo-Yeniseyskiy,US,2022-04-28 02:39:01,61.2181,-149.9003,58.21,39,0,11.5
177,Severo-Yeniseyskiy,AO,2022-04-28 02:39:46,-15.1961,12.1522,72.64,74,46,3.33
178,Severo-Yeniseyskiy,KZ,2022-04-28 02:39:46,45.2514,77.9838,61.29,27,5,3.96
179,Severo-Yeniseyskiy,NO,2022-04-28 02:39:47,70.8578,29.0864,23.0,61,100,30.53
180,Severo-Yeniseyskiy,CN,2022-04-28 02:39:47,37.6508,120.3286,50.09,73,100,21.05
181,Severo-Yeniseyskiy,PF,2022-04-28 02:39:47,-17.5667,-149.8667,85.73,71,8,20.74
182,Severo-Yeniseyskiy,GF,2022-04-28 02:38:02,4.9333,-52.3333,82.09,1,100,2.3
183,Severo-Yeniseyskiy,CN,2022-04-28 02:39:10,39.5097,116.6947,50.79,68,100,3.49
184,Severo-Yeniseyskiy,JP,2022-04-28 02:40:48,33.7333,135.9833,63.88,87,100,10.29
185,Severo-Yeniseyskiy,RU,2022-04-28 02:40:48,62.8,43.25,19.67,82,25,3.15
186,Severo-Yeniseyskiy,DO,2022-04-28 02:40:49,18.945,-69.7933,72.0,85,14,2.46
187,Severo-Yeniseyskiy,BO,2022-04-28 02:40:49,-16.9833,-65.1333,76.42,83,100,1.88
188,Severo-Yeniseyskiy,BR,2022-04-28 02:40:50,-30.1811,-50.2056,70.65,95,11,1.12
189,Severo-Yeniseyskiy,ID,2022-04-28 02:40:50,-5.1131,105.3067,75.7,87,100,6.98
190,Severo-Yeniseyskiy,RU,2022-04-28 02:40:50,70.0167,135.6,14.49,82,100,5.23
191,Severo-Yeniseyskiy,ID,2022-04-28 02:40:51,-0.8917,119.8707,91.45,54,88,3.49
192,Severo-Yeniseyskiy,AU,2022-04-28 02:40:51,-20.7333,139.5,87.57,42,100,8.05
193,Severo-Yeniseyskiy,AU,2022-04-28 02:40:52,-28.8667,153.5667,79.79,74,75,13.8
194,Severo-Yeniseyskiy,NO,2022-04-28 02:40:52,58.6147,5.6457,41.49,75,80,18.5
195,Severo-Yeniseyskiy,IN,2022-04-28 02:40:12,25.5198,90.2201,86.09,50,0,2.04
196,Severo-Yeniseyskiy,ZA,2022-04-28 02:40:52,-34.5322,20.0403,54.21,90,1,0.81
197,Severo-Yeniseyskiy,GL,2022-04-28 02:40:53,60.9167,-46.05,41.22,87,100,4.43
198,Severo-Yeniseyskiy,PT,2022-04-28 02:40:53,32.6667,-17.1,61.43,74,59,6.26
199,Severo-Yeniseyskiy,GL,2022-04-28 02:40:54,69.2167,-51.1,32.02,86,100,0.0
200,Severo-Yeniseyskiy,CA,2022-04-28 02:38:07,43.7501,-81.7165,36.91,74,56,3.44
201,Severo-Yeniseyskiy,SL,2022-04-28 02:40:54,7.6244,-11.8332,76.53,93,67,1.97
202,Severo-Yeniseyskiy,GL,2022-04-28 02:37:06,65.6145,-37.6368,32.16,84,85,6.44
203,Severo-Yeniseyskiy,NA,2022-04-28 02:40:55,-21.9833,16.9167,61.9,51,30,8.1
204,Severo-Yeniseyskiy,BR,2022-04-28 02:40:55,-21.8425,-43.7931,60.28,82,0,3.04
205,Severo-Yeniseyskiy,CA,2022-04-28 02:40:55,58.8053,-122.7002,33.39,93,100,11.5
